NAME                 REFERENCE                       TARGETS       MINPODS   MAXPODS   REPLICAS   AGE
hivemq-broker-depl   Deployment/hivemq-broker-depl   cpu: 2%/70%   1         20        1          24m
hivemq-broker-depl   Deployment/hivemq-broker-depl   cpu: 3%/70%   1         20        1          25m
hivemq-broker-depl   Deployment/hivemq-broker-depl   cpu: 36%/70%   1         20        1          25m
hivemq-broker-depl   Deployment/hivemq-broker-depl   cpu: 22%/70%   1         20        1          25m
hivemq-broker-depl   Deployment/hivemq-broker-depl   cpu: 22%/70%   1         20        1          26m
hivemq-broker-depl   Deployment/hivemq-broker-depl   cpu: 36%/70%   1         20        1          26m
hivemq-broker-depl   Deployment/hivemq-broker-depl   cpu: 44%/70%   1         20        1          26m
hivemq-broker-depl   Deployment/hivemq-broker-depl   cpu: 23%/70%   1         20        1          26m
hivemq-broker-depl   Deployment/hivemq-broker-depl   cpu: 8%/70%    1         20        1          27m
hivemq-broker-depl   Deployment/hivemq-broker-depl   cpu: 2%/70%    1         20        1          27m
hivemq-broker-depl   Deployment/hivemq-broker-depl   cpu: 5%/70%    1         20        1          27m
hivemq-broker-depl   Deployment/hivemq-broker-depl   cpu: 4%/70%    1         20        1          28m
hivemq-broker-depl   Deployment/hivemq-broker-depl   cpu: 2%/70%    1         20        1          28m
hivemq-broker-depl   Deployment/hivemq-broker-depl   cpu: 9%/70%    1         20        1          29m
hivemq-broker-depl   Deployment/hivemq-broker-depl   cpu: 8%/70%    1         20        1          29m
hivemq-broker-depl   Deployment/hivemq-broker-depl   cpu: 11%/70%   1         20        1          29m
hivemq-broker-depl   Deployment/hivemq-broker-depl   cpu: 8%/70%    1         20        1          30m
hivemq-broker-depl   Deployment/hivemq-broker-depl   cpu: 8%/70%    1         20        1          30m
hivemq-broker-depl   Deployment/hivemq-broker-depl   cpu: 10%/70%   1         20        1          30m
hivemq-broker-depl   Deployment/hivemq-broker-depl   cpu: 10%/70%   1         20        1          30m
hivemq-broker-depl   Deployment/hivemq-broker-depl   cpu: 8%/70%    1         20        1          31m
hivemq-broker-depl   Deployment/hivemq-broker-depl   cpu: 6%/70%    1         20        1          31m
hivemq-broker-depl   Deployment/hivemq-broker-depl   cpu: 8%/70%    1         20        1          31m
hivemq-broker-depl   Deployment/hivemq-broker-depl   cpu: 7%/70%    1         20        1          32m
hivemq-broker-depl   Deployment/hivemq-broker-depl   cpu: 8%/70%    1         20        1          32m
hivemq-broker-depl   Deployment/hivemq-broker-depl   cpu: 2%/70%    1         20        1          32m
hivemq-broker-depl   Deployment/hivemq-broker-depl   cpu: 3%/70%    1         20        1          34m
hivemq-broker-depl   Deployment/hivemq-broker-depl   cpu: 2%/70%    1         20        1          34m

