pi@raspberrypi:~ $ sudo kubectl get hpa mosquitto-broker-depl --watch
NAME                    REFERENCE                          TARGETS       MINPODS   MAXPODS   REPLICAS   AGE
mosquitto-broker-depl   Deployment/mosquitto-broker-depl   cpu: 2%/70%     1         20        4          61m
mosquitto-broker-depl   Deployment/mosquitto-broker-depl   cpu: 2%/70%     1         20        4          62m
mosquitto-broker-depl   Deployment/mosquitto-broker-depl   cpu: 3%/70%     1         20        3          62m
mosquitto-broker-depl   Deployment/mosquitto-broker-depl   cpu: 2%/70%     1         20        3          62m
mosquitto-broker-depl   Deployment/mosquitto-broker-depl   cpu: 2%/70%     1         20        3          62m
mosquitto-broker-depl   Deployment/mosquitto-broker-depl   cpu: 3%/70%     1         20        2          63m
mosquitto-broker-depl   Deployment/mosquitto-broker-depl   cpu: 2%/70%     1         20        2          63m
mosquitto-broker-depl   Deployment/mosquitto-broker-depl   cpu: 3%/70%     1         20        2          63m
mosquitto-broker-depl   Deployment/mosquitto-broker-depl   cpu: 3%/70%     1         20        2          64m
mosquitto-broker-depl   Deployment/mosquitto-broker-depl   cpu: 2%/70%     1         20        1          64m

