3%/70% 3 1 126m 126
2%/70% 2 1 126m 126
3%/70% 3 1 126m 126
18%/70% 18 1 127m 127
16%/70% 16 1 127m 127
12%/70% 12 1 127m 127
7%/70% 7 1 127m 127
5%/70% 5 1 128m 128
6%/70% 6 1 128m 128
2%/70% 2 1 128m 128
5%/70% 5 1 128m 128
3%/70% 3 1 129m 129
11%/70% 11 1 129m 129
3%/70% 3 1 129m 129
5%/70% 5 1 130m 130
4%/70% 4 1 130m 130
4%/70% 4 1 130m 130
4%/70% 4 1 131m 131
6%/70% 6 1 131m 131
5%/70% 5 1 132m 132
2%/70% 2 1 132m 132
3%/70% 3 1 132m 132
2%/70% 2 1 133m 133
5%/70% 5 1 133m 133
2%/70% 2 1 133m 133
3%/70% 3 1 134m 134
2%/70% 2 1 134m 134
3%/70% 3 1 134m 134
6%/70% 6 1 134m 134
4%/70% 4 1 135m 135
2%/70% 2 1 135m 135
