2024-09-22 14:38:19.733,192.168.15.107 - 2024-09-22 14:38:19.431,2024-09-22 14:38:19.431
2024-09-22 14:38:19.734,192.168.15.107 - 2024-09-22 14:38:19.532,2024-09-22 14:38:19.532
2024-09-22 14:38:19.734,192.168.15.107 - 2024-09-22 14:38:19.633,2024-09-22 14:38:19.633
2024-09-22 14:38:19.754,192.168.15.107 - 2024-09-22 14:38:19.734,2024-09-22 14:38:19.734
2024-09-22 14:38:19.937,192.168.15.107 - 2024-09-22 14:38:19.835,2024-09-22 14:38:19.835
2024-09-22 14:38:19.957,192.168.15.107 - 2024-09-22 14:38:19.936,2024-09-22 14:38:19.936
2024-09-22 14:38:20.066,192.168.15.107 - 2024-09-22 14:38:20.037,2024-09-22 14:38:20.037
2024-09-22 14:38:20.160,192.168.15.107 - 2024-09-22 14:38:20.138,2024-09-22 14:38:20.138
2024-09-22 14:38:20.263,192.168.15.107 - 2024-09-22 14:38:20.239,2024-09-22 14:38:20.239
2024-09-22 14:38:20.449,192.168.15.107 - 2024-09-22 14:38:20.340,2024-09-22 14:38:20.340
2024-09-22 14:38:20.467,192.168.15.107 - 2024-09-22 14:38:20.441,2024-09-22 14:38:20.441
2024-09-22 14:38:20.566,192.168.15.107 - 2024-09-22 14:38:20.542,2024-09-22 14:38:20.542
2024-09-22 14:38:20.756,192.168.15.107 - 2024-09-22 14:38:20.643,2024-09-22 14:38:20.643
2024-09-22 14:38:20.767,192.168.15.107 - 2024-09-22 14:38:20.744,2024-09-22 14:38:20.744
2024-09-22 14:38:20.961,192.168.15.107 - 2024-09-22 14:38:20.845,2024-09-22 14:38:20.845
2024-09-22 14:38:21.006,192.168.15.107 - 2024-09-22 14:38:20.946,2024-09-22 14:38:20.946
2024-09-22 14:38:21.108,192.168.15.107 - 2024-09-22 14:38:21.047,2024-09-22 14:38:21.047
2024-09-22 14:38:21.196,192.168.15.107 - 2024-09-22 14:38:21.148,2024-09-22 14:38:21.148
2024-09-22 14:38:21.371,192.168.15.107 - 2024-09-22 14:38:21.249,2024-09-22 14:38:21.249
2024-09-22 14:38:21.380,192.168.15.107 - 2024-09-22 14:38:21.350,2024-09-22 14:38:21.350
2024-09-22 14:38:21.575,192.168.15.107 - 2024-09-22 14:38:21.451,2024-09-22 14:38:21.451
2024-09-22 14:38:21.589,192.168.15.107 - 2024-09-22 14:38:21.552,2024-09-22 14:38:21.552
2024-09-22 14:38:21.780,192.168.15.107 - 2024-09-22 14:38:21.653,2024-09-22 14:38:21.653
2024-09-22 14:38:21.801,192.168.15.107 - 2024-09-22 14:38:21.754,2024-09-22 14:38:21.754
2024-09-22 14:38:21.894,192.168.15.107 - 2024-09-22 14:38:21.855,2024-09-22 14:38:21.855
2024-09-22 14:38:22.087,192.168.15.107 - 2024-09-22 14:38:21.956,2024-09-22 14:38:21.956
2024-09-22 14:38:22.092,192.168.15.107 - 2024-09-22 14:38:22.057,2024-09-22 14:38:22.057
2024-09-22 14:38:22.182,192.168.15.107 - 2024-09-22 14:38:22.158,2024-09-22 14:38:22.158
2024-09-22 14:38:22.395,192.168.15.107 - 2024-09-22 14:38:22.259,2024-09-22 14:38:22.259
2024-09-22 14:38:22.402,192.168.15.107 - 2024-09-22 14:38:22.360,2024-09-22 14:38:22.360
2024-09-22 14:38:22.492,192.168.15.107 - 2024-09-22 14:38:22.461,2024-09-22 14:38:22.461
2024-09-22 14:38:22.702,192.168.15.107 - 2024-09-22 14:38:22.562,2024-09-22 14:38:22.562
2024-09-22 14:38:22.702,192.168.15.107 - 2024-09-22 14:38:22.663,2024-09-22 14:38:22.663
2024-09-22 14:38:22.786,192.168.15.107 - 2024-09-22 14:38:22.764,2024-09-22 14:38:22.764
2024-09-22 14:38:22.926,192.168.15.107 - 2024-09-22 14:38:22.865,2024-09-22 14:38:22.865
2024-09-22 14:38:23.021,192.168.15.107 - 2024-09-22 14:38:22.966,2024-09-22 14:38:22.966
2024-09-22 14:38:23.110,192.168.15.107 - 2024-09-22 14:38:23.067,2024-09-22 14:38:23.067
2024-09-22 14:38:23.198,192.168.15.107 - 2024-09-22 14:38:23.168,2024-09-22 14:38:23.168
2024-09-22 14:38:23.334,192.168.15.107 - 2024-09-22 14:38:23.269,2024-09-22 14:38:23.269
2024-09-22 14:38:23.393,192.168.15.107 - 2024-09-22 14:38:23.370,2024-09-22 14:38:23.370
2024-09-22 14:38:23.642,192.168.15.107 - 2024-09-22 14:38:23.471,2024-09-22 14:38:23.471
2024-09-22 14:38:23.643,192.168.15.107 - 2024-09-22 14:38:23.572,2024-09-22 14:38:23.572
2024-09-22 14:38:23.711,192.168.15.107 - 2024-09-22 14:38:23.673,2024-09-22 14:38:23.673
2024-09-22 14:38:23.810,192.168.15.107 - 2024-09-22 14:38:23.774,2024-09-22 14:38:23.774
2024-09-22 14:38:23.908,192.168.15.107 - 2024-09-22 14:38:23.875,2024-09-22 14:38:23.875
2024-09-22 14:38:24.065,192.168.15.107 - 2024-09-22 14:38:23.976,2024-09-22 14:38:23.976
2024-09-22 14:38:24.100,192.168.15.107 - 2024-09-22 14:38:24.077,2024-09-22 14:38:24.077
2024-09-22 14:38:24.237,192.168.15.107 - 2024-09-22 14:38:24.178,2024-09-22 14:38:24.178
