2024-09-22 14:13:19.979,192.168.15.107 - 2024-09-22 14:13:19.886,2024-09-22 14:13:19.886
2024-09-22 14:13:21.003,192.168.15.107 - 2024-09-22 14:13:20.887,2024-09-22 14:13:20.887
2024-09-22 14:13:21.883,192.168.15.107 - 2024-09-22 14:13:21.888,2024-09-22 14:13:21.888
2024-09-22 14:13:22.881,192.168.15.107 - 2024-09-22 14:13:22.889,2024-09-22 14:13:22.889
2024-09-22 14:13:24.152,192.168.15.107 - 2024-09-22 14:13:23.890,2024-09-22 14:13:23.890
2024-09-22 14:13:24.932,192.168.15.107 - 2024-09-22 14:13:24.891,2024-09-22 14:13:24.891
2024-09-22 14:13:25.882,192.168.15.107 - 2024-09-22 14:13:25.892,2024-09-22 14:13:25.892
2024-09-22 14:13:26.943,192.168.15.107 - 2024-09-22 14:13:26.893,2024-09-22 14:13:26.893
2024-09-22 14:13:27.889,192.168.15.107 - 2024-09-22 14:13:27.894,2024-09-22 14:13:27.894
2024-09-22 14:13:28.991,192.168.15.107 - 2024-09-22 14:13:28.895,2024-09-22 14:13:28.895
2024-09-22 14:13:30.014,192.168.15.107 - 2024-09-22 14:13:29.896,2024-09-22 14:13:29.896
2024-09-22 14:13:30.936,192.168.15.107 - 2024-09-22 14:13:30.897,2024-09-22 14:13:30.897
2024-09-22 14:13:31.896,192.168.15.107 - 2024-09-22 14:13:31.898,2024-09-22 14:13:31.898
2024-09-22 14:13:32.984,192.168.15.107 - 2024-09-22 14:13:32.899,2024-09-22 14:13:32.899
2024-09-22 14:13:34.008,192.168.15.107 - 2024-09-22 14:13:33.900,2024-09-22 14:13:33.900
2024-09-22 14:13:34.893,192.168.15.107 - 2024-09-22 14:13:34.901,2024-09-22 14:13:34.901
2024-09-22 14:13:35.954,192.168.15.107 - 2024-09-22 14:13:35.902,2024-09-22 14:13:35.902
2024-09-22 14:13:36.978,192.168.15.107 - 2024-09-22 14:13:36.903,2024-09-22 14:13:36.903
2024-09-22 14:13:38.002,192.168.15.107 - 2024-09-22 14:13:37.904,2024-09-22 14:13:37.904
2024-09-22 14:13:39.026,192.168.15.107 - 2024-09-22 14:13:38.905,2024-09-22 14:13:38.905
2024-09-22 14:13:39.947,192.168.15.107 - 2024-09-22 14:13:39.906,2024-09-22 14:13:39.906
2024-09-22 14:13:41.074,192.168.15.107 - 2024-09-22 14:13:40.907,2024-09-22 14:13:40.907
2024-09-22 14:13:41.912,192.168.15.107 - 2024-09-22 14:13:41.908,2024-09-22 14:13:41.908
2024-09-22 14:13:43.019,192.168.15.107 - 2024-09-22 14:13:42.909,2024-09-22 14:13:42.909
2024-09-22 14:13:43.941,192.168.15.107 - 2024-09-22 14:13:43.910,2024-09-22 14:13:43.910
2024-09-22 14:13:44.965,192.168.15.107 - 2024-09-22 14:13:44.911,2024-09-22 14:13:44.911
2024-09-22 14:13:45.906,192.168.15.107 - 2024-09-22 14:13:45.912,2024-09-22 14:13:45.912
2024-09-22 14:13:47.014,192.168.15.107 - 2024-09-22 14:13:46.913,2024-09-22 14:13:46.913
2024-09-22 14:13:48.037,192.168.15.107 - 2024-09-22 14:13:47.914,2024-09-22 14:13:47.914
2024-09-22 14:13:49.061,192.168.15.107 - 2024-09-22 14:13:48.915,2024-09-22 14:13:48.915
2024-09-22 14:13:49.982,192.168.15.107 - 2024-09-22 14:13:49.916,2024-09-22 14:13:49.916
2024-09-22 14:13:51.006,192.168.15.107 - 2024-09-22 14:13:50.917,2024-09-22 14:13:50.917
2024-09-22 14:13:51.951,192.168.15.107 - 2024-09-22 14:13:51.918,2024-09-22 14:13:51.918
