2,1,136,2024-09-28 17:28:00
2,1,136,2024-09-28 17:28:15
6,1,136,2024-09-28 17:28:30
103,1,136,2024-09-28 17:28:45
200,2,137,2024-09-28 17:29:00
200,3,137,2024-09-28 17:29:15
189,3,137,2024-09-28 17:29:30
113,6,137,2024-09-28 17:29:45
34,6,138,2024-09-28 17:30:00
128,6,138,2024-09-28 17:30:15
84,11,138,2024-09-28 17:30:30
37,11,138,2024-09-28 17:30:45
89,11,139,2024-09-28 17:31:00
16,13,139,2024-09-28 17:31:20
38,13,139,2024-09-28 17:31:40
19,13,140,2024-09-28 17:32:00
4,13,140,2024-09-28 17:32:15
5,13,140,2024-09-28 17:32:30
4,13,140,2024-09-28 17:32:45
3,13,141,2024-09-28 17:33:00
5,13,141,2024-09-28 17:33:20
3,13,141,2024-09-28 17:33:40
6,13,142,2024-09-28 17:34:00
7,13,142,2024-09-28 17:34:15
4,13,142,2024-09-28 17:34:30
2,13,142,2024-09-28 17:34:45
3,13,143,2024-09-28 17:35:00
2,13,144,2024-09-28 17:36:00
2,7,144,2024-09-28 17:36:15
4,7,144,2024-09-28 17:36:30
3,7,144,2024-09-28 17:36:45
5,4,145,2024-09-28 17:37:00
2,2,145,2024-09-28 17:37:20
3,2,145,2024-09-28 17:37:40
5,2,146,2024-09-28 17:38:00
2,2,146,2024-09-28 17:38:20
3,2,146,2024-09-28 17:38:40
3,2,147,2024-09-28 17:39:00
2,2,147,2024-09-28 17:39:20
2,1,147,2024-09-28 17:39:40
